Cluster_Name,Adventure,Architecture,Beach,Birding,Culture,Hiking,History,Museum,Nature,Park,Relax,Religious,Safari,Shopping,Viewpoint,Hilly,Off-Road,Paved,Num_Places
Anuradhapura,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.41304347826086957,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.043478260869565216,0.17391304347826086,0.0,0.021739130434782608,0.043478260869565216,0.10869565217391304,0.17391304347826086,0.717391304347826,46
Batticaloa Area,0.14814814814814814,0.037037037037037035,0.2222222222222222,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.18518518518518517,0.037037037037037035,0.0,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.37037037037037035,0.5555555555555556,27
Colombo,0.015625,0.046875,0.171875,0.03125,0.03125,0.0,0.125,0.046875,0.125,0.0625,0.078125,0.21875,0.0,0.046875,0.0,0.015625,0.125,0.859375,64
Dambulla Area,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.037037037037037035,0.48148148148148145,0.037037037037037035,0.16666666666666666,0.0,0.05555555555555555,0.018518518518518517,0.1111111111111111,0.0,0.05555555555555555,0.07407407407407407,0.3333333333333333,0.5925925925925926,54
Ella,0.058823529411764705,0.0392156862745098,0.0,0.0,0.0784313725490196,0.17647058823529413,0.13725490196078433,0.0196078431372549,0.17647058823529413,0.0,0.058823529411764705,0.0784313725490196,0.0,0.0,0.17647058823529413,0.39215686274509803,0.09803921568627451,0.5098039215686274,51
Galle Area,0.06976744186046512,0.023255813953488372,0.2558139534883721,0.023255813953488372,0.0,0.023255813953488372,0.13953488372093023,0.09302325581395349,0.20930232558139536,0.0,0.0,0.11627906976744186,0.0,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.2558139534883721,0.627906976744186,43
Hambantota Area,0.0,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.0,0.024390243902439025,0.17073170731707318,0.04878048780487805,0.2682926829268293,0.0,0.024390243902439025,0.14634146341463414,0.12195121951219512,0.0,0.04878048780487805,0.024390243902439025,0.3902439024390244,0.5853658536585366,41
Hatton Area,0.037037037037037035,0.0,0.0,0.018518518518518517,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.05555555555555555,0.3333333333333333,0.0,0.12962962962962962,0.09259259259259259,0.0,0.018518518518518517,0.07407407407407407,0.46296296296296297,0.25925925925925924,0.2777777777777778,54
Jaffna Area,0.046511627906976744,0.0,0.16279069767441862,0.0,0.046511627906976744,0.0,0.20930232558139536,0.046511627906976744,0.18604651162790697,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.0,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.3023255813953488,0.6744186046511628,43
Kalpitiya Area,0.1282051282051282,0.0,0.1282051282051282,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.2564102564102564,0.0,0.05128205128205128,0.1282051282051282,0.0,0.0,0.07692307692307693,0.0,0.48717948717948717,0.5128205128205128,39
Kandy Area,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.1951219512195122,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.21951219512195122,0.0,0.0,0.07317073170731707,0.5121951219512195,0.07317073170731707,0.4146341463414634,41
Kilinochchi Area,0.0,0.0,0.125,0.125,0.0625,0.0,0.1875,0.0625,0.3125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.5,0.5,16
Kurunegala,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.1891891891891892,0.05405405405405406,0.24324324324324326,0.02702702702702703,0.08108108108108109,0.21621621621621623,0.0,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.21621621621621623,0.6486486486486487,37
Matara Area,0.046511627906976744,0.0,0.4418604651162791,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.13953488372093023,0.0,0.0,0.06976744186046512,0.023255813953488372,0.0,0.06976744186046512,0.11627906976744186,0.20930232558139536,0.6744186046511628,43
Nuwara Eliya,0.018518518518518517,0.0,0.0,0.0,0.09259259259259259,0.2037037037037037,0.037037037037037035,0.037037037037037035,0.3148148148148148,0.037037037037037035,0.07407407407407407,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.12962962962962962,0.3888888888888889,0.2037037037037037,0.4074074074074074,54
Pottuvil Area,0.15789473684210525,0.0,0.2631578947368421,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.10526315789473684,0.0,0.0,0.15789473684210525,0.5263157894736842,0.3157894736842105,19
Talaimannar Area,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.23809523809523808,0.0,0.14285714285714285,0.0,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.0,0.09523809523809523,0.0,0.42857142857142855,0.5714285714285714,21
Trincomalee,0.058823529411764705,0.0,0.2647058823529412,0.029411764705882353,0.058823529411764705,0.0,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.0,0.029411764705882353,0.11764705882352941,0.0,0.0,0.11764705882352941,0.08823529411764706,0.35294117647058826,0.5588235294117647,34
