Cluster_Name,Adventure,Architecture,Beach,Birding,Culture,Hiking,History,Museum,Nature,Park,Relax,Religious,Safari,Shopping,Viewpoint,Num_Places,Avg_Distance
Anuradhapura,0.0,0.0217391304347826,0.0,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.4130434782608695,0.0434782608695652,0.1521739130434782,0.0217391304347826,0.0434782608695652,0.1739130434782608,0.0,0.0217391304347826,0.0434782608695652,0.625,0.43758427054716154
Batticaloa Area,0.1481481481481481,0.037037037037037,0.2222222222222222,0.0,0.0,0.037037037037037,0.074074074074074,0.0,0.1851851851851851,0.037037037037037,0.0,0.1481481481481481,0.037037037037037,0.037037037037037,0.037037037037037,0.22916666666666669,0.7215076838532745
Colombo,0.015625,0.046875,0.171875,0.03125,0.03125,0.0,0.125,0.046875,0.125,0.0625,0.078125,0.21875,0.0,0.046875,0.0,1.0,0.0
Dambulla Area,0.0,0.0185185185185185,0.0,0.0,0.0185185185185185,0.037037037037037,0.4814814814814814,0.037037037037037,0.1666666666666666,0.0,0.0555555555555555,0.0185185185185185,0.1111111111111111,0.0,0.0555555555555555,0.7916666666666667,0.42796128357208796
Ella,0.0588235294117647,0.0392156862745098,0.0,0.0,0.0784313725490196,0.1764705882352941,0.1372549019607843,0.0196078431372549,0.1764705882352941,0.0,0.0588235294117647,0.0784313725490196,0.0,0.0,0.1764705882352941,0.7291666666666667,0.5453077172554339
Galle Area,0.0697674418604651,0.0232558139534883,0.2558139534883721,0.0232558139534883,0.0,0.0232558139534883,0.1395348837209302,0.0930232558139534,0.2093023255813953,0.0,0.0,0.1162790697674418,0.0,0.0232558139534883,0.0232558139534883,0.5625,0.3160498065627767
Hambantota Area,0.0,0.024390243902439,0.048780487804878,0.073170731707317,0.0,0.024390243902439,0.1707317073170731,0.048780487804878,0.2682926829268293,0.0,0.024390243902439,0.1463414634146341,0.1219512195121951,0.0,0.048780487804878,0.5208333333333333,0.7157269410401288
Hatton Area,0.037037037037037,0.0,0.0,0.0185185185185185,0.037037037037037,0.1851851851851851,0.0185185185185185,0.0555555555555555,0.3333333333333333,0.0,0.1296296296296296,0.0925925925925925,0.0,0.0185185185185185,0.074074074074074,0.7916666666666667,0.26337853073574613
Jaffna Area,0.0465116279069767,0.0,0.1627906976744186,0.0,0.0465116279069767,0.0,0.2093023255813953,0.0465116279069767,0.1860465116279069,0.0232558139534883,0.0465116279069767,0.1162790697674418,0.0,0.0232558139534883,0.0930232558139534,0.5625,1.0
Kalpitiya Area,0.1282051282051282,0.0,0.1282051282051282,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0,0.2564102564102564,0.0,0.0512820512820512,0.1282051282051282,0.0,0.0,0.0769230769230769,0.4791666666666667,0.16478330447999553
Kandy Area,0.048780487804878,0.048780487804878,0.0,0.0,0.0,0.1951219512195122,0.1219512195121951,0.1219512195121951,0.1219512195121951,0.024390243902439,0.024390243902439,0.2195121951219512,0.0,0.0,0.073170731707317,0.5208333333333333,0.2466147742294145
Kilinochchi Area,0.0,0.0,0.125,0.125,0.0625,0.0,0.1875,0.0625,0.3125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.8034411703471682
Kurunegala,0.0,0.0,0.0,0.027027027027027,0.054054054054054,0.0,0.1891891891891892,0.054054054054054,0.2432432432432432,0.027027027027027,0.081081081081081,0.2162162162162162,0.0,0.027027027027027,0.081081081081081,0.43749999999999994,0.16437385179572703
Matara Area,0.0465116279069767,0.0,0.4418604651162791,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.0930232558139534,0.0232558139534883,0.1395348837209302,0.0,0.0,0.0697674418604651,0.0232558139534883,0.0,0.0697674418604651,0.5625,0.4737556154218414
Nuwara Eliya,0.0185185185185185,0.0,0.0,0.0,0.0925925925925925,0.2037037037037037,0.037037037037037,0.037037037037037,0.3148148148148148,0.037037037037037,0.074074074074074,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.1296296296296296,0.7916666666666667,0.4195848776350356
Pottuvil Area,0.1578947368421052,0.0,0.2631578947368421,0.0,0.0526315789473684,0.1052631578947368,0.0526315789473684,0.0,0.1052631578947368,0.0,0.0,0.1578947368421052,0.1052631578947368,0.0,0.0,0.0625,0.9198239576536518
Talaimannar Area,0.0,0.0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0,0.238095238095238,0.0,0.1428571428571428,0.0,0.0476190476190476,0.1904761904761904,0.0952380952380952,0.0,0.0952380952380952,0.10416666666666669,0.6145221242095865
Trincomalee,0.0588235294117647,0.0,0.2647058823529412,0.0294117647058823,0.0588235294117647,0.0,0.1176470588235294,0.0294117647058823,0.1764705882352941,0.0,0.0294117647058823,0.1176470588235294,0.0,0.0,0.1176470588235294,0.37499999999999994,0.604088778454805
